
WLA DX: 6809 mnemonics listed in alphabetical order.

If you notice any errors or something is missing, please
open an issue @ https://github.com/vhelin/wla-dx


x = 8bit
? = 16bit
s = 5bit signed ([-16, +15])



"ABX" $3A
"SUBD B,Y" $A3A5
"SUBD D,S" $A3EB
"SUBD D,U" $A3CB
"SUBD D,X" $A38B
"SUBD D,Y" $A3AB
"SUBD s,S" $A360
"SUBD s,U" $A340
"SUBD s,X" $A300
"SUBD s,Y" $A320
"SUBD x" $93
"SUBD x,PCR" $A38C
"SUBD x,S" $A3E8
"SUBD x,U" $A3C8
"SUBD x,X" $A388
"SUBD x,Y" $A3A8
"SUBD,--S" $A3E3
"SUBD,--U" $A3C3
"SUBD,--X" $A383
"SUBD,--Y" $A3A3
"SUBD,-S" $A3E2
"SUBD,-U" $A3C2
"SUBD,-X" $A382
"SUBD,-Y" $A3A2
"SUBD,S" $A3E4
"SUBD,S+" $A3E0
"SUBD,S++" $A3E1
"SUBD,U" $A3C4
"SUBD,U+" $A3C0
"SUBD,U++" $A3C1
"SUBD,X" $A384
"SUBD,X+" $A380
"SUBD,X++" $A381
"SUBD,Y" $A3A4
"SUBD,Y+" $A3A0
"SUBD,Y++" $A3A1
"SWI" $3F
"SWI1" $3F
"SWI2" $103F
"SWI3" $113F
"SYNC" $13
"TFR r" $1F
"TST (,--S)" $6DF3
"TST (,--U)" $6DD3
"TST (,--X)" $6D93
"TST (,--Y)" $6DB3
"TST (,S)" $6DF4
"TST (,S++)" $6DF1
"TST (,U)" $6DD4
"TST (,U++)" $6DD1
"TST (,X)" $6D94
"TST (,X++)" $6D91
"TST (,Y)" $6DB4
"TST (,Y++)" $6DB1
"TST (?)" $6D9F
"TST (?,PCR)" $6D9D
"TST (?,S)" $6DF9
"TST (?,U)" $6DD9
"TST (?,X)" $6D99
"TST (?,Y)" $6DB9
"TST (A,S)" $6DF6
"TST (A,U)" $6DD6
"TST (A,X)" $6D96
"TST (A,Y)" $6DB6
"TST (B,S)" $6DF5
"TST (B,U)" $6DD5
"TST (B,X)" $6D95
"TST (B,Y)" $6DB5
"TST (D,S)" $6DFB
"TST (D,U)" $6DDB
"TST (D,X)" $6D9B
"TST (D,Y)" $6DBB
"TST (x,PCR)" $6D9C
"TST (x,S)" $6DF8
"TST (x,U)" $6DD8
"TST (x,X)" $6D98
"TST (x,Y)" $6DB8
"TST ?" $7D
"TST ?,PCR" $6D8D
"TST ?,S" $6DE9
"TST ?,U" $6DC9
"TST ?,X" $6D89
"TST ?,Y" $6DA9
"TST A,S" $6DE6
"TST A,U" $6DC6
"TST A,X" $6D86
"TST A,Y" $6DA6
"TST B,S" $6DE5
"TST B,U" $6DC5
"TST B,X" $6D85
"TST B,Y" $6DA5
"TST D,S" $6DEB
"TST D,U" $6DCB
"TST D,X" $6D8B
"TST D,Y" $6DAB
"TST s,S" $6D60
"TST s,U" $6D40
"TST s,X" $6D00
"TST s,Y" $6D20
"TST x" $0D
"TST x,PCR" $6D8C
"TST x,S" $6DE8
"TST x,U" $6DC8
"TST x,X" $6D88
"TST x,Y" $6DA8
"TST,--S" $6DE3
"TST,--U" $6DC3
"TST,--X" $6D83
"TST,--Y" $6DA3
"TST,-S" $6DE2
"TST,-U" $6DC2
"TST,-X" $6D82
"TST,-Y" $6DA2
"TST,S" $6DE4
"TST,S+" $6DE0
"TST,S++" $6DE1
"TST,U" $6DC4
"TST,U+" $6DC0
"TST,U++" $6DC1
"TST,X" $6D84
"TST,X+" $6D80
"TST,X++" $6D81
"TST,Y" $6DA4
"TST,Y+" $6DA0
"TST,Y++" $6DA1
"TSTA" $4D
"TSTB" $5D
